dataset,p,k,feature_ratio,feature_pct,baseline_auc_mean,etree_auc_mean,stg_auc_mean,lspin_auc_mean,etree_auc_delta_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,etree_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,etree_accuracy_delta_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
colon,2000,100,0.05,5.0,0.9349999999999999,0.9199999999999999,0.9275,0.87625,-0.01499999999999999,-0.007499999999999995,-0.05874999999999999,0.8051282051282052,0.8384615384615385,0.8525641025641025,0.8051282051282052,0.03333333333333335,0.04743589743589745,2.2204460492503132e-17
leukemia,7070,7070,1.0,100.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.0,0.0,0.0,0.9457142857142857,0.9457142857142857,0.9457142857142857,0.9457142857142857,0.0,0.0,0.0
leukemia,7070,6363,0.9,90.0,0.9800000000000001,0.984,0.984,0.984,0.0040000000000000036,0.0040000000000000036,0.0040000000000000036,0.9457142857142857,0.9304761904761906,0.9304761904761906,0.9447619047619048,-0.01523809523809525,-0.01523809523809525,-0.000952380952380949
leukemia,7070,5656,0.8,80.0,0.9800000000000001,0.984,0.9800000000000001,0.9800000000000001,0.0040000000000000036,0.0,0.0,0.9457142857142857,0.9304761904761906,0.917142857142857,0.9447619047619048,-0.01523809523809525,-0.02857142857142858,-0.000952380952380949
leukemia,7070,4949,0.7,70.0,0.9800000000000001,0.984,0.976,0.9800000000000001,0.0040000000000000036,-0.003999999999999981,0.0,0.9457142857142857,0.9304761904761906,0.9447619047619048,0.9447619047619048,-0.01523809523809525,-0.0009523809523809712,-0.0009523809523809712
leukemia,7070,4242,0.6,60.0,0.9800000000000001,0.9879999999999999,0.9800000000000001,0.9800000000000001,0.007999999999999985,0.0,0.0,0.9457142857142857,0.9447619047619048,0.959047619047619,0.9447619047619048,-0.000952380952380949,0.01333333333333333,-0.0009523809523809712
leukemia,7070,3535,0.5,50.0,0.9800000000000001,0.9879999999999999,0.9800000000000001,0.9800000000000001,0.007999999999999985,0.0,0.0,0.9457142857142857,0.9447619047619048,0.9038095238095238,0.9161904761904761,-0.000952380952380949,-0.04190476190476191,-0.02952380952380953
leukemia,7070,2828,0.4,40.0,0.9800000000000001,0.984,0.9800000000000001,0.9800000000000001,0.0040000000000000036,0.0,0.0,0.9457142857142857,0.9580952380952381,0.9038095238095238,0.917142857142857,0.012380952380952381,-0.04190476190476191,-0.02857142857142858
leukemia,7070,2121,0.3,30.0,0.9800000000000001,0.9879999999999999,0.9800000000000001,0.974,0.007999999999999985,0.0,-0.006000000000000005,0.9457142857142857,0.9723809523809525,0.9038095238095238,0.9161904761904761,0.02666666666666666,-0.04190476190476191,-0.02952380952380953
leukemia,7070,1414,0.2,20.0,0.9800000000000001,0.992,0.9795555555555555,0.976,0.01200000000000001,-0.0004444444444444473,-0.003999999999999981,0.9457142857142857,0.959047619047619,0.917142857142857,0.9028571428571428,0.01333333333333333,-0.02857142857142858,-0.04285714285714286
